file,gamma_mean,gamma_qdiff_mean,match_error_gammaquant_mean,mode_gq,p_gamma_quant_1_32,p_gamma_quant_3_32
ci_v4_gate_korea_wq_bodcod_detrend+deseason_d10_m6_bs12.csv,0.09902350719313514,0.007926710738521085,0.21758310399146652,0.0625,0.13,0.205
ci_v4_gate_korea_wq_bodcod_detrend+deseason_d10_m6_bs24.csv,0.09940974776809976,0.008494495567606654,0.23306589448313753,0.0625,0.16,0.215
ci_v4_gate_korea_wq_bodcod_detrend+deseason_d10_m6_bs48.csv,0.10156494568707655,0.009258562074228234,0.2374162609373834,0.0625,0.135,0.185
ci_v4_gate_korea_wq_bodcod_detrend+deseason_d12_m3_bs12.csv,0.06815363727147605,0.0074624835516692726,0.21439871952621606,0.03125,0.34,0.155
ci_v4_gate_korea_wq_bodcod_detrend+deseason_d12_m3_bs24.csv,0.07488283226488199,0.007232541125969285,0.2099745560584854,0.0625,0.245,0.22
ci_v4_gate_korea_wq_bodcod_detrend+deseason_d12_m3_bs48.csv,0.06921955366015964,0.006829510283523759,0.1868256469117985,0.03125,0.295,0.185
ci_v4_gate_korea_wq_bodcod_detrend+deseason_d12_m5_bs12.csv,0.0858006239881799,0.0074435148804170145,0.1935071616678984,0.0625,0.2,0.2
ci_v4_gate_korea_wq_bodcod_detrend+deseason_d12_m5_bs24.csv,0.08701170903440794,0.007510888783696394,0.19277673564570513,0.0625,0.185,0.24
ci_v4_gate_korea_wq_bodcod_detrend+deseason_d12_m5_bs48.csv,0.08462656671569384,0.009200781196627525,0.19925353099751214,0.0625,0.2,0.18
ci_v4_gate_korea_wq_bodcod_detrend_d10_m3_bs12.csv,0.021988337644368774,0.004571963030324828,0.22870863555340823,0.015625,0.33,0.0
ci_v4_gate_korea_wq_bodcod_detrend_d10_m3_bs24.csv,0.021333388692981008,0.004539559592030233,0.21261582143823943,0.015625,0.315,0.005
ci_v4_gate_korea_wq_bodcod_detrend_d10_m3_bs48.csv,0.02079979484633995,0.004404692598924594,0.18042824976388702,0.015625,0.23,0.0
ci_v4_gate_korea_wq_bodcod_detrend_d11_m7_bs12.csv,0.028755985805649992,0.006418615850016563,0.13130753774342072,0.015625,0.325,0.025
ci_v4_gate_korea_wq_bodcod_detrend_d11_m7_bs24.csv,0.027851872990446155,0.006358625595720289,0.12976413403045586,0.015625,0.335,0.015
ci_v4_gate_korea_wq_bodcod_detrend_d11_m7_bs48.csv,0.03784916524936983,0.007081051782439926,0.12197657172683193,0.015625,0.325,0.04
ci_v4_gate_korea_wq_bodcod_detrend_d3_m3_bs12.csv,0.020125114532268285,0.004379503923492752,0.21326121280335086,0.015625,0.3,0.0
ci_v4_gate_korea_wq_bodcod_detrend_d3_m3_bs24.csv,0.0202812646999116,0.004550155205876002,0.20360758656326056,0.015625,0.31,0.0
ci_v4_gate_korea_wq_bodcod_detrend_d3_m3_bs48.csv,0.019349565566597397,0.004265309414772132,0.1991777119788511,0.015625,0.24,0.0
