r,q0,bottleneck_H1,cluster
0.08,0.93,0.2571352124,0
0.08,0.935,0.2571352124,0
0.08,0.94,0.2571352124,0
0.08,0.945,0.2571352124,0
0.08,0.95,0.2571352124,0
0.08,0.955,0.2571352124,0
0.08,0.96,0.2571352124,0
0.08,0.965,0.2571352124,0
0.08,0.97,0.2571352124,0
0.08,0.975,0.2571352124,0
0.08,0.98,0.2571352124,0
0.0825,0.93,0.2571352124,0
0.0825,0.935,0.1287068129,1
0.0825,0.94,0.2571352124,0
0.0825,0.945,0.2571352124,0
0.0825,0.95,0.2878525257,0
0.0825,0.955,0.2571352124,0
0.0825,0.96,0.2571352124,0
0.0825,0.965,0.2571352124,0
0.0825,0.97,0.2571352124,0
0.0825,0.975,0.2571352124,0
0.0825,0.98,0.2571352124,0
0.085,0.93,0.2571352124,0
0.085,0.935,0.2571352124,0
0.085,0.94,0.2571352124,0
0.085,0.945,0.2571352124,0
0.085,0.95,0.2571352124,0
0.085,0.955,0.2571352124,0
0.085,0.96,0.2571352124,0
0.085,0.965,0.2571352124,0
0.085,0.97,0.2571352124,0
0.085,0.975,0.2571352124,0
0.085,0.98,0.2571352124,0
0.0875,0.93,0.2571352124,0
0.0875,0.935,0.2571352124,0
0.0875,0.94,0.2350547314,0
0.0875,0.945,0.2571352124,0
0.0875,0.95,0.2571352124,0
0.0875,0.955,0.2571352124,0
0.0875,0.96,0.2571352124,0
0.0875,0.965,0.2513566017,0
0.0875,0.97,0.2571352124,0
0.0875,0.975,0.2571352124,0
0.0875,0.98,0.2571352124,0
0.09,0.93,0.2522412539,0
0.09,0.935,0.2571352124,0
0.09,0.94,0.2571352124,0
0.09,0.945,0.2571352124,0
0.09,0.95,0.2571352124,0
0.09,0.955,0.2571352124,0
0.09,0.96,0.2571352124,0
0.09,0.965,0.2571352124,0
0.09,0.97,0.2571352124,0
0.09,0.975,0.2571352124,0
0.09,0.98,0.2571352124,0
0.0925,0.93,0.2571352124,0
0.0925,0.935,0.2571352124,0
0.0925,0.94,0.2571352124,0
0.0925,0.945,0.2571352124,0
0.0925,0.95,0.2571352124,0
0.0925,0.955,0.2571352124,0
0.0925,0.96,0.2571352124,0
0.0925,0.965,0.2030827999,2
0.0925,0.97,0.2571352124,0
0.0925,0.975,0.2571352124,0
0.0925,0.98,0.2571352124,0
0.095,0.93,0.2571352124,0
0.095,0.935,0.2571352124,0
0.095,0.94,0.2244131565,2
0.095,0.945,0.2571352124,0
0.095,0.95,0.2571352124,0
0.095,0.955,0.2571352124,0
0.095,0.96,0.2511793375,0
0.095,0.965,0.2571352124,0
0.095,0.97,0.2571352124,0
0.095,0.975,0.2571352124,0
0.095,0.98,0.2571352124,0
0.0975,0.93,0.2571352124,0
0.0975,0.935,0.2276201248,0
0.0975,0.94,0.2104347944,2
0.0975,0.945,0.2571352124,0
0.0975,0.95,0.2571352124,0
0.0975,0.955,0.2571352124,0
0.0975,0.96,0.2571352124,0
0.0975,0.965,0.2571352124,0
0.0975,0.97,0.2571352124,0
0.0975,0.975,0.2571352124,0
0.0975,0.98,0.2571352124,0
0.1,0.93,0.2571352124,0
0.1,0.935,0.2571352124,0
0.1,0.94,0.242708683,0
0.1,0.945,0.2571352124,0
0.1,0.95,0.1837897301,2
0.1,0.955,0.0,3
0.1,0.96,0.2571352124,0
0.1,0.965,0.2571352124,0
0.1,0.97,0.2571352124,0
0.1,0.975,0.2571352124,0
0.1,0.98,0.2571352124,0
0.1025,0.93,0.2571352124,0
0.1025,0.935,0.2017434835,2
0.1025,0.94,0.2571352124,0
0.1025,0.945,0.2571352124,0
0.1025,0.95,0.1815741062,2
0.1025,0.955,0.2571352124,0
0.1025,0.96,0.2571352124,0
0.1025,0.965,0.2571352124,0
0.1025,0.97,0.2571352124,0
0.1025,0.975,0.2571352124,0
0.1025,0.98,0.2571352124,0
0.105,0.93,0.1742063761,2
0.105,0.935,0.2571352124,0
0.105,0.94,0.2571352124,0
0.105,0.945,0.2571352124,0
0.105,0.95,0.2571352124,0
0.105,0.955,0.2571352124,0
0.105,0.96,0.2571352124,0
0.105,0.965,0.2571352124,0
0.105,0.97,0.2571352124,0
0.105,0.975,0.2571352124,0
0.105,0.98,0.2571352124,0
0.1075,0.93,0.2571352124,0
0.1075,0.935,0.2571352124,0
0.1075,0.94,0.2571352124,0
0.1075,0.945,0.2571352124,0
0.1075,0.95,0.2571352124,0
0.1075,0.955,0.2571352124,0
0.1075,0.96,0.2571352124,0
0.1075,0.965,0.2571352124,0
0.1075,0.97,0.2571352124,0
0.1075,0.975,0.2571352124,0
0.1075,0.98,0.2571352124,0
0.11,0.93,0.2571352124,0
0.11,0.935,0.2571352124,0
0.11,0.94,0.3401552439,4
0.11,0.945,0.2571352124,0
0.11,0.95,0.2571352124,0
0.11,0.955,0.1918867826,2
0.11,0.96,0.2571352124,0
0.11,0.965,0.2571352124,0
0.11,0.97,0.2571352124,0
0.11,0.975,0.1517244577,1
0.11,0.98,0.2571352124,0
0.1125,0.93,0.2571352124,0
0.1125,0.935,0.2571352124,0
0.1125,0.94,0.2571352124,0
0.1125,0.945,0.2571352124,0
0.1125,0.95,0.2571352124,0
0.1125,0.955,0.2571352124,0
0.1125,0.96,0.2571352124,0
0.1125,0.965,0.2571352124,0
0.1125,0.97,0.2571352124,0
0.1125,0.975,0.2571352124,0
0.1125,0.98,0.2571352124,0
0.115,0.93,0.2571352124,0
0.115,0.935,0.2571352124,0
0.115,0.94,0.2571352124,0
0.115,0.945,0.2571352124,0
0.115,0.95,0.2571352124,0
0.115,0.955,0.2571352124,0
0.115,0.96,0.1357011795,1
0.115,0.965,0.2571352124,0
0.115,0.97,0.2553272247,0
0.115,0.975,0.2571352124,0
0.115,0.98,0.242123723,0
0.1175,0.93,0.2571352124,0
0.1175,0.935,0.2571352124,0
0.1175,0.94,0.2571352124,0
0.1175,0.945,0.1867393255,2
0.1175,0.95,0.2571352124,0
0.1175,0.955,0.2571352124,0
0.1175,0.96,0.2571352124,0
0.1175,0.965,0.2571352124,0
0.1175,0.97,0.2571352124,0
0.1175,0.975,0.2571352124,0
0.1175,0.98,0.2571352124,0
0.12,0.93,0.2571352124,0
0.12,0.935,0.2571352124,0
0.12,0.94,0.2571352124,0
0.12,0.945,0.2571352124,0
0.12,0.95,0.2571352124,0
0.12,0.955,0.2571352124,0
0.12,0.96,0.2571352124,0
0.12,0.965,0.2571352124,0
0.12,0.97,0.2571352124,0
0.12,0.975,0.2571352124,0
0.12,0.98,0.2571352124,0
