r,q0,gradient,bottleneck_H1
0.1025,0.955,0.22820213941845718,0.2571352124
0.0975,0.955,0.22654666559041545,0.2571352124
0.1,0.96,0.2189351950511849,0.2571352124
0.0975,0.95,0.2143415026649549,0.2571352124
0.1025,0.95,0.2080585257304218,0.1815741062
0.1025,0.96,0.20639015568061006,0.2571352124
0.0975,0.96,0.17833939657179754,0.2571352124
0.1,0.95,0.16563083104319626,0.1837897301
0.1075,0.935,0.14372257394128177,0.2571352124
0.1025,0.945,0.14062006027403734,0.2571352124
0.105,0.95,0.13401030176058892,0.2571352124
0.1075,0.93,0.13400440029276747,0.2571352124
0.105,0.955,0.12380319348808361,0.2571352124
0.1,0.945,0.11630050524368703,0.2571352124
0.105,0.935,0.11239243972250555,0.2571352124
0.105,0.945,0.11005113078861775,0.2571352124
0.0825,0.94,0.10098418668780583,0.2571352124
0.095,0.955,0.09673312858056532,0.2571352124
0.1,0.955,0.09272532949687433,0.0
0.095,0.95,0.09157756486893211,0.2571352124
0.08,0.94,0.09041551625133666,0.2571352124
0.1,0.965,0.08994471724255632,0.2571352124
0.1075,0.94,0.089061257994299,0.2571352124
0.0975,0.945,0.08618328362483282,0.2571352124
0.1175,0.96,0.08578968932005263,0.2571352124
0.105,0.96,0.0843501761784139,0.2571352124
0.1025,0.93,0.08254463239529716,0.2571352124
0.105,0.94,0.08248910831015287,0.2571352124
0.1075,0.945,0.08105530724977099,0.2571352124
0.115,0.965,0.08067088566173751,0.2571352124
0.1175,0.965,0.08051499151323212,0.2571352124
0.11,0.945,0.07996056312925313,0.2571352124
0.11,0.95,0.07979005801634102,0.2571352124
0.085,0.93,0.07896793636351693,0.2571352124
0.085,0.935,0.078696749222499,0.2571352124
0.085,0.94,0.07824823498423232,0.2571352124
0.1125,0.945,0.07816522206076038,0.2571352124
0.11,0.935,0.07717605555877001,0.2571352124
0.1075,0.975,0.0747765386054724,0.2571352124
0.1125,0.94,0.07268053507525807,0.2571352124
0.115,0.955,0.0701040284734975,0.2571352124
0.1025,0.965,0.06960441963528799,0.2571352124
0.1075,0.97,0.0691013656818986,0.2571352124
0.115,0.94,0.06859312014792633,0.2571352124
0.1075,0.98,0.06853624789220883,0.2571352124
0.095,0.945,0.06809131290768515,0.2571352124
0.0825,0.945,0.06788660268693089,0.2571352124
0.1125,0.95,0.06781148135575671,0.2571352124
0.1175,0.955,0.06686792690982533,0.2571352124
0.115,0.945,0.06598495755296888,0.2571352124
0.11,0.97,0.06518184624695944,0.2571352124
0.095,0.935,0.06475336986960559,0.2571352124
0.1125,0.975,0.06377953946855147,0.2571352124
0.0975,0.965,0.06359608922386585,0.2571352124
0.105,0.93,0.06250297874814875,0.1742063761
0.1125,0.96,0.060217926725001245,0.2571352124
0.11,0.93,0.05911330114860995,0.2571352124
0.1,0.93,0.058439648014544356,0.2571352124
0.1125,0.965,0.05842719078806019,0.2571352124
0.11,0.96,0.05801112211539568,0.2571352124
0.095,0.94,0.05800239070133086,0.2244131565
0.08,0.93,0.05665969713931396,0.2571352124
0.1125,0.955,0.056536777526103754,0.2571352124
0.0975,0.935,0.05541025304738073,0.2276201248
0.08,0.945,0.05514871819019755,0.2571352124
0.1125,0.935,0.05409154117263973,0.2571352124
0.085,0.945,0.053839361363166804,0.2571352124
0.1075,0.95,0.05343197903546208,0.2571352124
